Title,Beds,Location,Price,Reviews,Host
"<meta content=""CABIN X GPF"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_27665472"">Farm stay in Catsfield</div>",$282 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.99 (222)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Chic country cottage, hot tub &amp; wood burning stove"" itemprop=""name""/>","<span class=""dir dir-ltr"">5 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_38542112"">Cottage in Sutton Scotney</div>",$536 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.86 (266)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""The place to bee... 🐝"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_50418993"">Shepherd’s hut in Four Elms</div>",$267 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (105)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Furnished glamping pod for family breaks (No. 3)"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43755085"">Tiny home in North Yorkshire</div>",$130 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.91 (65)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Luxury Dome with private Hot Tub"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_45636111"">Dome in Pembrokeshire</div>",$241 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.97 (34)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Architect designed Lodge with pool and sea views"" itemprop=""name""/>","<span class=""dir dir-ltr"">5 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_759175884578068855"">Villa in Torbay</div>",$767 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">New</span>",
"<meta content=""Leman Locke Sky One Bedroom Apartment"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 queen bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_19692156"">Condo in London</div>",$321 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.85 (62)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Plus</div>"
"<meta content=""Luxury New Alpine Lodge in Private Walled Garden"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_716468663603949264"">Cabin in Claygate</div>",$283 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (10)</span>",
"<meta content=""Hafod y Rhedwydd, an off-grid cottage in an SSSI"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_47310461"">Cottage in Gwynedd</div>",$309 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.9 (31)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""River Side Cabin, The Beehive retreat"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43721568"">Tiny home in Bere Alston</div>",$208 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.92 (59)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Oak House Shepherds Hut"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_42776064"">Shepherd’s hut in Everton</div>",$271 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (149)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Large luxury coastal glamping pod and outdoor bath"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_627452561035001313"">Farm stay in Weston</div>",$206 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (7)</span>",
"<meta content=""Camping Pod 2 on Loch Shore - Dalavich"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 single bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43991495"">Hut in Dalavich</div>","$97 per night, originally $107","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.77 (66)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""River Side Cabin, The Beehive retreat"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43721568"">Tiny home in Bere Alston</div>",$208 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.92 (59)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Oak House Shepherds Hut"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_42776064"">Shepherd’s hut in Everton</div>",$271 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (149)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Large luxury coastal glamping pod and outdoor bath"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_627452561035001313"">Farm stay in Weston</div>",$206 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (7)</span>",
"<meta content=""Camping Pod 2 on Loch Shore - Dalavich"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 single bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43991495"">Hut in Dalavich</div>","$97 per night, originally $107","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.77 (66)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Highland Lochside Lodge Beautiful Great Glen Views"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_49721740"">Chalet in Highland Council</div>",$241 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (40)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Sandpiper Lodge"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_716573887578528557"">Barn in Norfolk</div>",$344 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (4)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Little Venice Paddington Studio"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_746231195650332738"">Apartment in London</div>",$193 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">New</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Serenity Lodge Otterburn with Hot Tub"" itemprop=""name""/>","<span class=""dir dir-ltr"">6 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_39968366"">Cabin in Old Town Farm</div>",$485 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.97 (37)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Large glamping pod for country escapes (No. 6)"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43755673"">Tiny home in North Yorkshire</div>",$161 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.88 (43)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Rural Retreat on the Ashdown Forest"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_45111790"">Barn in Nutley</div>",$314 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.98 (91)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Wigwam Holidays Ball Hall Farm Deluxe cabin, Pets"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 double beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_45409832"">Cabin in Storwood</div>",$137 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (44)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Garden cottage with outstanding Surrey Hills views"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 queen bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_35525760"">Cottage in Ranmore Common</div>",$383 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (56)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Log Cabin Snowdonia"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_22712282"">Tiny home in Trawsfynydd</div>",$130 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.88 (180)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Gorgeous yurt in amazing mountain/forest location"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_7082871"">Yurt in Cynwyd</div>",$124 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (395)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Romantic Dutch Barn In Sheep Meadows"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_39026359"">Hut in Loddon</div>",$138 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.55 (60)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Remote Retreat in private field, ideal for dogs"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_14690987"">Hut in Machynlleth</div>",$123 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (297)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Luxury Villa, private hot tub, pet friendly"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 king bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_52482534"">Villa in Cumbria</div>",$464 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.83 (41)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""The Lodge at Haceby"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_20794722"">Home in Haceby</div>",$306 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.9 (241)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""CaeManal - Manal"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_43713924"">Farm stay in Ceredigion</div>",$162 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (64)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Little Trenant Barn on Helford River Near Constantine"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_29962243"">Barn in Constantine </div>",$198 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.95 (108)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Plus</div>"
"<meta content=""Leven View Lodges Near Glencoe No1 Carness"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_36764955"">Tiny home in Onich, Fort William</div>",$179 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.97 (153)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Secluded luxury Shepherd Hut, North Devon coast"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_26395710"">Shepherd’s hut in Bideford</div>",$205 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.93 (163)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""2 1/2 bedroom Cottage next to Artist's Studio"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_674644117704382326"">Guesthouse in Binton</div>",$242 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (8)</span>",
"<meta content=""The Motte, a cosy pod with hot tub &amp; scenic views"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_628747398597744524"">Farm stay in Powys</div>","$199 per night, originally $230","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (18)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Stable View"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_49463133"">Tiny home in Northumberland</div>",$151 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.96 (51)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Chester Glamping"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_26484257"">Private room in Saughall</div>",$96 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.79 (119)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Vibrant Flat with Fantastic Views by the Royal Mile"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_1556996"">Apartment in Edinburgh</div>",$546 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.8 (165)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Plus</div>"
"<meta content=""Stunning hot tub cottage with Snowdon views!"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_14286209"">Cottage in Capel Curig</div>",$219 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.9 (248)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Cotswold farm - Newly converted Stables house"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_629693860546564628"">Farm stay in Harescombe</div>",$412 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (14)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Wooden lodge between Cornish  Waterfall and  Sea"" itemprop=""name""/>","<span class=""dir dir-ltr"">3 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_41932133"">Cabin in Cornwall</div>",$206 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.9 (63)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Dragon's Den Pod 1"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_38373150"">Tiny home in Thurton</div>",$208 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.85 (95)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Host &amp; Stay | Salt &amp; Seaweed"" itemprop=""name""/>","<span class=""dir dir-ltr"">4 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_49190717"">Cabin in Runswick Bay</div>","$268 per night, originally $316","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.9 (40)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Romantic North Devon shepherd hut"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_717967881316882493"">Shepherd’s hut in Devon</div>",$232 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">5.0 (4)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Superhost</div>"
"<meta content=""Patch: Beautiful country cottage with outdoor pool"" itemprop=""name""/>","<span class=""dir dir-ltr"">2 beds</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_24591718"">Cottage in Winscombe</div>","$149 per night, originally $164","<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.8 (76)</span>","<div class=""t1mwk1n0 dir dir-ltr"">Rare find</div>"
"<meta content=""Four Poster Mawddach Suite in Arthog Hall"" itemprop=""name""/>","<span class=""dir dir-ltr"">1 double bed</span>","<div class=""t1jojoys dir dir-ltr"" id=""title_50337465"">Private room in Gwynedd</div>",$206 per night,"<span aria-hidden=""true"" class=""r1dxllyb dir dir-ltr"">4.5 (24)</span>",
