Name,Listing_type,Location,Rating,Host,Beds,DiscountedPrice,OriginalPrice,Latitude,Longitude,State,Country,ZipCodes,Codes
J Quarter Contractors place,Entire apartment,"Jewellery Quarter, Birmingham",8.3,Very good,5,0,0,52.4879157,-1.9116096,England,United Kingdom,B18 6AT,gb
"West Cottage, Cerne Abbas Lane",Entire holiday home,Dorchester,8.8,Fabulous,3,0,0,50.7132064,-2.4371229,England,United Kingdom,DT1 1DQ,gb
The Garden Flat,Entire holiday home,Charmouth,9.4,Superb,3,0,0,50.737992399999996,-2.906532918406503,England,United Kingdom,DT6 6BH,gb
The Annex,Entire holiday home,Tiverton,9.4,Superb,1,0,0,50.9025623,-3.4875797,England,United Kingdom,EX16 6NA,gb
Comfortable Apartment in Sheffield with Parking,Entire apartment,Neepsend,8.7,Fabulous,5,0,0,53.3926774,-1.4747055,England,United Kingdom,S3 8BL,gb
Olympic Village Home - Victory,Entire holiday home,Portland,8.2,Very good,4,0,0,45.5202471,-122.674194,Oregon,United States,97204,us
The Victorian Barn Self Catering Holiday Complex,Entire holiday home,Woolland,8.1,Very good,3,0,0,50.86145535,-2.3168527197730127,England,United Kingdom,DT11 0EP,gb
Perfect Waterside Getaway! Luxury in Plymouth's RWY - Sleeps 6 - Private Parking - Habita Property,Entire apartment,Plymouth,8.2,Very good,3,0,0,50.3712659,-4.1425658,England,United Kingdom,PL1 1HH,gb
"Macdonald Linden Hall, Golf & Country Club",2 private suite,Longhorsley,7.3,Good,2,0,0,55.25111445,-1.7667618287730993,England,United Kingdom,NE65 8LA,gb
Kingston Country Courtyard,Private suite,Kingston,8.7,Fabulous,1,0,0,17.9712148,-76.7928128,,Jamaica,,jm
Tranquil Beachfront Deluxe Two Bedroom Apartment,Entire apartment,Kent,7.8,Good,1,0,0,51.20707485,0.7210361813401444,England,United Kingdom,TN27 9BB,gb
Doubletree By Hilton Glasgow Westerwood Spa & Golf Resort,2 private suite,Cumbernauld,7.6,Good,2,0,0,55.9477764,-3.9882568,Alba / Scotland,United Kingdom,G67 1EE,gb
Bath House Hotel,Private suite,Chard,9.1,Superb,2,0,0,45.94409,2.47593,Nouvelle-Aquitaine,France,23700,fr
Host & Stay - Pete's Retreat,Entire apartment,Saltburn-by-the-Sea,8.2,Very good,2,0,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Host & Stay - Carlewell Cottage,Entire holiday home,Middlesmoor,9.3,Superb,2,0,0,54.1635878,-1.8610047,England,United Kingdom,HG3 5ST,gb
Howgills Apartments,Entire apartment,Sedbergh,8.6,Fabulous,6,0,0,54.34600675,-2.483718041949941,England,United Kingdom,LA10 5LU,gb
Host & Stay - 39 Marine Parade,Entire apartment,Saltburn-by-the-Sea,9.1,Superb,2,0,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Studios At Glenthorne,Entire studio,Merthyr Tydfil,9.2,Superb,2,0,0,51.7455659,-3.3786082,Cymru / Wales,United Kingdom,CF47 8DG,gb
Croft Mill,Entire apartment,Hebden Bridge,9.5,Exceptional,2,0,0,53.7406425,-2.0092336,England,United Kingdom,HX7 8AU,gb
Brighton Inn Boutique Guest Accommodation,Private suite,"Kemptown, Brighton & Hove",8.0,Very good,1,0,0,50.8192795,-0.1231562,England,United Kingdom,BN2 1EB,gb
Wyndham Duchally Country Estate,Entire vill,Auchterarder,8.9,Fabulous,4,0,0,56.2949827,-3.7066774,Alba / Scotland,United Kingdom,PH3 1AD,gb
Pebbles,Entire apartment,Winchelsea,9.0,Superb,4,0,0,50.9243896,0.7086362,England,United Kingdom,TN36 4EA,gb
North Wales Lake View 2 Bedroom,Entire chalet,Caernarfon,8.0,Very good,3,0,0,53.1394364,-4.2769751,Cymru / Wales,United Kingdom,LL55 2AY,gb
Posh Pads - Liverpool 1 - Apart-Hotel,Entire apartment,"Liverpool City Centre, Liverpool",9.1,Superb,3,0,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
Elizabeth Clark,Entire apartment,Manningtree,7.9,Good,3,0,0,51.9450866,1.0630218,England,United Kingdom,CO11 1AD,gb
The Print Works Apartments,Entire apartment,"Liverpool City Centre, Liverpool",7.9,Good,4,0,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
The Boat Yard,Entire apartment,Appledore,7.5,Good,3,0,0,51.03644635,0.7849114340136915,England,United Kingdom,TN26 2AD,gb
The Castle Collection - 25 Castle Street,Entire apartment,"Liverpool City Centre, Liverpool",8.7,Fabulous,2,0,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
The James Manchester,Entire apartment,"Manchester City Centre, Manchester",8.7,Fabulous,3,0,0,53.484131,-2.2380465,England,United Kingdom,M4 1FS,gb
Primrose Cottage,Entire holiday home,North Petherwin,9.4,Superb,3,0,0,50.69319215,-4.461325272734107,England,United Kingdom,PL15 8LT,gb
Host & Stay - Fountains Cottage,Entire holiday home,Guisborough,8.3,Very good,2,0,0,54.5359551,-1.051085,England,United Kingdom,TS14 6BS,gb
Host & Stay - Harbour Cottage,Entire holiday home,Staithes,7.8,Good,2,0,0,54.555561,-0.7923465,England,United Kingdom,TS13 5BB,gb
Loch Insh Chalets Ltd,Entire apartment,Kincraig,8.6,Fabulous,1,0,0,57.1274984,-3.9311803,Alba / Scotland,United Kingdom,PH21 1QD,gb
Y Gorsaf,Entire holiday home,Llanfairpwllgwyngyll,8.8,Fabulous,2,0,0,53.2226484,-4.2036036,Cymru / Wales,United Kingdom,LL61 5HY,gb
Long Mountain Centre Log Cabins,Entire chalet,Meadowtown,8.6,Fabulous,4,0,0,52.6046709,-3.0176984,England,United Kingdom,SY5 0DY,gb
Host & Stay - Cornerhouse Apartments,Entire apartment,Saltburn-by-the-Sea,9.0,Superb,2,0,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
"Orchard Lodge -Coastal Retreat, S/C, village views",Entire apartment,Saint Brides Major,9.8,Exceptional,3,0,0,51.4602719,-3.593739,Cymru / Wales,United Kingdom,CF32 0SL,gb
Edinburgh Castle Apartments,Entire apartment,"New Town, Edinburgh",8.5,Very good,3,0,0,55.9554575,-3.1989995,Alba / Scotland,United Kingdom,EH2 1JX,gb
4 Varis Apartments,Entire holiday home,Forres,8.8,Fabulous,2,0,0,57.609864,-3.613215,Alba / Scotland,United Kingdom,IV36 1NX,gb
Cabin at Aithernie,Entire apartment,Leven-Fife,9.1,Superb,3,0,0,56.1954351,-2.99692,Alba / Scotland,United Kingdom,KY8 4NQ,gb
Host & Stay - Groveside Apartment,Entire apartment,Saltburn-by-the-Sea,8.3,Very good,2,0,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Charming Welsh Cottage,Entire holiday home,Johnston,9.4,Superb,3,0,0,35.5285816,-78.3768021,North Carolina,United States,27577,us
Normanby Cottage Runswick Bay,Entire holiday home,Runswick,8.8,Fabulous,2,0,0,51.308285749999996,-0.5637230093584646,England,United Kingdom,GU22 0AH,gb
Luxurious Apartment in Historic Mansion - Sleeps 7,Entire apartment,Ladock,8.7,Fabulous,5,0,0,50.3331405,-4.9645163694514896,England,United Kingdom,TR2 4NW,gb
Hob Lane Farm Cottage,Entire holiday home,Oughtibridge,9.3,Superb,1,0,0,53.4346989,-1.5377765,England,United Kingdom,S35 0EQ,gb
Goilan Goch,Entire holiday home,Llandeilo,9.3,Superb,2,0,0,51.8853935,-3.9925144,Cymru / Wales,United Kingdom,SA19 6ED,gb
Newborough Cottage,Entire holiday home,Newborough,9.0,Superb,3,0,0,52.6392768,-0.2212138,England,United Kingdom,PE6 7SF,gb
Broome Park Hotel,2 entire chalet,Canterbury,7.7,Good,2,0,0,51.2800275,1.0802533,England,United Kingdom,CT1 2JA,gb
The Vermont ApartHotel,Entire apartment,"Newcastle City Centre, Newcastle upon Tyne",8.4,Very good,2,0,0,54.9772205,-1.6612259989810887,England,United Kingdom,NE4 9LU,gb
Hazel's House,Entire holiday home,Keighley,9.2,Superb,1,0,0,53.8684021,-1.9020456,England,United Kingdom,BD21 3ER,gb
KSpace @ Waterloo Court,Entire apartment,"Leeds City Centre, Leeds",8.8,Fabulous,2,0,0,53.809128400000006,-1.5302367852524053,England,United Kingdom,LS7 1RG,gb
The Deeside,Entire holiday home,Buckley,7.5,Good,6,0,0,40.5969794,-88.0380959,Illinois,United States,60918,us
Mrs Blodget’s,Entire apartment,"Liverpool City Centre, Liverpool",8.4,Very good,3,0,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
Host & Stay - The Library,Entire holiday home,Shilbottle,8.0,Very good,2,0,0,55.3706845,-1.6896941,England,United Kingdom,NE66 2XW,gb
Apartment/Flat 3,Entire apartment,Menai Bridge,8.9,Fabulous,3,0,0,53.2259347,-4.1631064,Cymru / Wales,United Kingdom,LL59 5DG,gb
Tresarran Cottages Cornwall,Entire holiday home,Liskeard,9.2,Superb,2,0,0,50.4546303,-4.4644227,England,United Kingdom,PL14 3WH,gb
Meadow View Lodge,Entire holiday home,Begelly,9.1,Superb,2,0,0,51.7320775,-4.7250581,Cymru / Wales,United Kingdom,SA68 0YJ,gb
Priest Bridge Cottage,Entire bungalow,Bryansford,8.5,Very good,5,0,0,54.2299237,-5.9356005,Tuaisceart Éireann / Northern Ireland,United Kingdom,BT31 9HH,gb
Host & Stay - Sandside Beach House,Entire holiday home,Saltburn-by-the-Sea,8.3,Very good,4,0,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Host & Stay - Pearl Apartment,Entire apartment,Saltburn-by-the-Sea,7.3,Good,3,0,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Whispers,Entire apartment,Winchelsea,8.8,Fabulous,4,0,0,50.9243896,0.7086362,England,United Kingdom,TN36 4EA,gb
Mrs Blodget’s,Entire apartment,"Liverpool City Centre, Liverpool",8.4,Very good,3,293,0,53.4773112,-2.2581189,England,United Kingdom,M3 4JJ,gb
Host & Stay - The Library,Entire holiday home,Shilbottle,8.0,Very good,2,243,0,55.3706845,-1.6896941,England,United Kingdom,NE66 2XW,gb
Apartment/Flat 3,Entire apartment,Menai Bridge,8.9,Fabulous,3,189,202,53.2259347,-4.1631064,Cymru / Wales,United Kingdom,LL59 5DG,gb
Tresarran Cottages Cornwall,Entire holiday home,Liskeard,9.2,Superb,2,295,315,50.4546303,-4.4644227,England,United Kingdom,PL14 3WH,gb
Victorian Cottage - The Beach Walmer,Entire holiday home,Walmer,9.5,Exceptional,3,279,298,51.2068884,1.3999154,England,United Kingdom,CT14 7LE,gb
The Old Dairy at Bishops Barton,Private suite,Wellington,9.5,Exceptional,1,569,632,-41.2887953,174.7772114,Wellington,New Zealand/Aotearoa,6011,nz
Meadow View Lodge,Entire holiday home,Begelly,9.1,Superb,2,221,236,51.7320775,-4.7250581,Cymru / Wales,United Kingdom,SA68 0YJ,gb
Priest Bridge Cottage,Entire bungalow,Bryansford,8.5,Very good,5,220,294,54.2299237,-5.9356005,Tuaisceart Éireann / Northern Ireland,United Kingdom,BT31 9HH,gb
Number Four,Entire holiday home,Westoe,9.4,Superb,1,368,394,32.9460053,-80.2334295,South Carolina,United States,29485,us
Host & Stay - Sandside Beach House,Entire holiday home,Saltburn-by-the-Sea,8.3,Very good,4,272,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Host & Stay - Pearl Apartment,Entire apartment,Saltburn-by-the-Sea,7.3,Good,3,181,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
Whispers,Entire apartment,Winchelsea,8.8,Fabulous,4,192,205,50.9243896,0.7086362,England,United Kingdom,TN36 4EA,gb
Sonder Royal Garden Apartments,Private suite,"New Town, Edinburgh",9.0,Superb,2,876,0,55.9554575,-3.1989995,Alba / Scotland,United Kingdom,EH2 1JX,gb
Cheerful 2 Bedroom Bungalow fully Furnished,Entire holiday home,Bradenham,8.7,Fabulous,3,274,294,51.666223,-0.8094029,England,United Kingdom,HP14 4HF,gb
Beach Lodge,Entire apartment,Camber,9.3,Superb,2,247,265,50.939823000000004,0.8352012340802042,England,United Kingdom,TN31 7SG,gb
Tewitfield Marina,Entire apartment,Carnforth,9.3,Superb,3,219,234,54.1282092,-2.7701207,England,United Kingdom,LA5 9ER,gb
Tansterne Grange,Entire holiday home,Aldbrough,9.2,Superb,1,178,191,53.827699,-0.1142214,England,United Kingdom,HU11 4RH,gb
Northern Lights,Entire holiday home,Talmine,8.9,Fabulous,4,429,620,29.3296013,-0.4986259,Timimoune ⵜⵉⵎⵉⵎⵓⵏ تيميمون,Algérie / ⵍⵣⵣⴰⵢⴻⵔ / الجزائر,,dz
2 Ringles Place,Entire apartment,Uckfield,8.5,Very good,2,221,236,50.97058355,0.0930413999898988,England,United Kingdom,TN22 1BP,gb
2 Hope Cottage,Entire holiday home,Spilsby,9.0,Superb,3,223,238,53.1731896,0.09712282016112722,England,United Kingdom,PE23 5JT,gb
Host & Stay - The Ruby Retreat Apartment,Entire apartment,Saltburn-by-the-Sea,8.3,Very good,2,226,0,54.5846769,-0.9740921,England,United Kingdom,TS12 1DG,gb
The Picture House Apartments,Entire apartment,"Everton, Liverpool",7.4,Good,5,341,0,53.4203542,-2.973229,England,United Kingdom,L5 3SY,gb
Aaron Wise - 51 Fitzhamon Apartments,Entire apartment,Cardiff,8.9,Fabulous,2,487,521,51.4816546,-3.1791934,Cymru / Wales,United Kingdom,CF10 3FD,gb
Bay Retreat Villas,Entire vill,Padstow,8.3,Very good,4,297,0,50.5403819,-4.9369874,England,United Kingdom,PL28 8BN,gb
Princes Street Suites,Entire apartment,"Princes Street, Edinburgh",8.9,Fabulous,2,1053,1127,55.95336,-3.1891049,Alba / Scotland,United Kingdom,EH1 3YY,gb
"Beautiful newly converted barn in idyllic location in St Hilary, Cowbridge",Entire holiday home,Cowbridge,,Exceptional,1,0,0,51.4616852,-3.4472705,Cymru / Wales,United Kingdom,CF71 7AD,gb
Host & Stay - Clarendon Apartments,Entire apartment,Redcar,8.5,Very good,2,0,0,54.6179021,-1.0687914,England,United Kingdom,TS10 1ED,gb
Cheval Harrington Court at South Kensington,Entire apartment,"Kensington and Chelsea, London",9.3,Superb,4,0,0,51.4875167,-0.1687007,England,United Kingdom,SW3 5EE,gb
Ballylinny Holiday Cottages,Entire holiday home,Bushmills,9.1,Superb,3,0,0,55.2059909,-6.5234165,Tuaisceart Éireann / Northern Ireland,United Kingdom,BT57 8QB,gb
Inglenook Cottage,Entire holiday home,Wooperton,9.1,Superb,3,0,0,55.4745678,-1.9253674,England,United Kingdom,NE66 4XW,gb
Seymour Apartment - Looe,Entire apartment,Looe,,Exceptional,3,0,0,50.3511715,-4.4542496,England,United Kingdom,PL13 2BY,gb
Swales cottage,Entire holiday home,Whitby,8.5,Very good,3,0,0,54.4874141,-0.6155111,England,United Kingdom,YO21 3PP,gb
Stylish - Modern - Serviced Accommodation - In The Heart of Northumberland,Entire holiday home,Ashington,8.1,Very good,3,0,0,55.1832364,-1.57027,England,United Kingdom,NE63 9UZ,gb
Towy Snug,Entire apartment,Llandeilo,9.2,Superb,2,0,0,51.8853935,-3.9925144,Cymru / Wales,United Kingdom,SA19 6ED,gb
RIGHT ON - BRIGHTON - By My Getaways,Entire apartment,"Brighton City Centre, Brighton & Hove",7.7,Good,6,0,0,50.8277667,-0.1413705,England,United Kingdom,BN1 3XE,gb
"'Kaia' Beach Vista, Ventnor Beach",Entire apartment,Ventnor,9.0,Superb,3,0,0,50.594976,-1.2029747,England,United Kingdom,PO38 1HD,gb
Hiraeth Môn,Entire apartment,Menai Bridge,8.9,Fabulous,3,0,0,53.2259347,-4.1631064,Cymru / Wales,United Kingdom,LL59 5DG,gb
"Lake View Apartments, Oulton Broad",Entire apartment,Lowestoft,8.6,Fabulous,3,0,0,52.4766308,1.7537638,England,United Kingdom,NR32 1HB,gb
Stepaside Holiday Home,Entire apartment,Pembrokeshire,8.4,Very good,4,0,0,51.8339209,-4.916667,Cymru / Wales,United Kingdom,SA62 4PU,gb
OnPoint Apartments - Deluxe Apartment City Centre Ideal Location!,Entire apartment,"Nottingham City Centre, Nottingham",7.5,Good,3,0,0,52.9537215,-1.144539929684785,England,United Kingdom,NG1 3BP,gb
Orchard Cottage,Entire holiday home,Canterbury,9.4,Superb,3,0,0,51.2800275,1.0802533,England,United Kingdom,CT1 2JA,gb
Cosy townhouse near Kidwelly,Entire apartment,Kidwelly,9.5,Exceptional,2,0,0,51.7363873,-4.3062309,Cymru / Wales,United Kingdom,SA17 4UD,gb
Host & Stay - Mary Lyth,Entire apartment,Whitby,8.5,Very good,3,0,0,54.4874141,-0.6155111,England,United Kingdom,YO21 3PP,gb
Mossie Apartment,Entire apartment,Ayr,9.6,Exceptional,2,0,0,55.4628044,-4.6302502,Alba / Scotland,United Kingdom,KA7 1QL,gb
Aaron Wise - 17 Fitzhamon Apartments,Entire apartment,Cardiff,8.9,Fabulous,2,0,0,51.4816546,-3.1791934,Cymru / Wales,United Kingdom,CF10 3FD,gb
Irene Court Cockermouth,Entire apartment,Cockermouth,8.2,Very good,3,0,0,54.6614392,-3.3590111,England,United Kingdom,CA13 9PG,gb
Host & Stay - The Merchants Quarters,Entire apartment,Scarborough,9.3,Superb,3,0,0,54.2820009,-0.4011868,England,United Kingdom,YO11 1UH,gb
Stylish 2 Bed Apart In The Heart of North Norfolk,Entire apartment,North Walsham,9.1,Superb,3,0,0,52.8213308,1.3861979,England,United Kingdom,NR28 9BT,gb
Wuthering Heights,Entire holiday home,Sedbergh,9.7,Exceptional,3,355,0,54.34600675,-2.483718041949941,England,United Kingdom,LA10 5LU,gb
Oakstays City Centre Gem,Entire apartment,"Newcastle City Centre, Newcastle upon Tyne",7.8,Good,3,327,0,54.9772205,-1.6612259989810887,England,United Kingdom,NE4 9LU,gb
Turnberry accommodation,Entire apartment,Turnberry,8.9,Fabulous,3,286,0,55.3224311,-4.836721796807566,Alba / Scotland,United Kingdom,KA26 9LT,gb
Stunning Countryside Woodland Lodge & Wood Fired Hot Tub,Entire holiday home,Hambleton,8.8,Fabulous,1,533,0,54.25045835,-1.4368783044428555,England,United Kingdom,YO7 4EU,gb
New Private Apartment Building Minutes From Heathrow,Entire apartment,Slough,7.8,Good,3,242,255,51.5111014,-0.5940682,England,United Kingdom,SL1 1XU,gb
Ty'r Afon - River Cottage,Entire holiday home,Bala,9.4,Superb,3,286,0,-8.456018100000001,115.27038551191185,Bali,Indonesia,80561,id
Lovely 2-bedroom apartment with designated parking - Brixham,Entire apartment,Brixham,9.3,Superb,2,268,0,50.3952404,-3.514544,England,United Kingdom,TQ5 8HJ,gb
Host & Stay - West Cliff View Apartment,Entire apartment,Whitby,8.0,Very good,2,212,0,54.4874141,-0.6155111,England,United Kingdom,YO21 3PP,gb
Kellas Cottage,Entire apartment,Murroes,8.7,Fabulous,3,223,0,56.5047525,-2.8756788,Alba / Scotland,United Kingdom,DD5 3PB,gb
The Bookbinders Residence Leeds City Centre,Entire apartment,"Leeds City Centre, Leeds",7.4,Good,4,332,0,53.809128400000006,-1.5302367852524053,England,United Kingdom,LS7 1RG,gb
Cotswold Valley Aparthotel,Entire apartment,Stroud,7.1,Good,5,250,0,51.745424,-2.2198605,England,United Kingdom,GL5 3BE,gb
The Stunning Abode - Close to Leeds - Parking,Entire apartment,Batley Carr,7.9,Good,4,240,0,53.7045649,-1.6357472,England,United Kingdom,WF17 7JP,gb
County Hall Apartment Hotel,Entire apartment,Boston,8.1,Very good,2,310,0,42.3554334,-71.060511,Massachusetts,United States,02108,us
Luxe Your Stay- Cheltenham,Entire apartment,Shurdington,7.4,Good,3,214,0,51.8671797,-2.116902,England,United Kingdom,GL51 4TD,gb
Smart Town Centre Apartments,Entire apartment,Northampton,8.7,Fabulous,2,270,0,52.23433665,-0.9028072768185829,England,United Kingdom,NN1 1FF,gb
Indigo Lodge - Aberdovey,Entire holiday home,Aberdyfi,7.5,Good,4,274,0,52.5451248,-4.0533624,Cymru / Wales,United Kingdom,LL35 0EB,gb
SunnyVale Valley View Cottage,Entire holiday home,Gorran Haven,9.4,Superb,4,341,0,50.2412337,-4.7927555,England,United Kingdom,PL26 6JB,gb
Host & Stay - Retreat By The Sea,Entire holiday home,Marske-by-the-Sea,8.8,Fabulous,2,226,0,54.5919266,-1.0196792,England,United Kingdom,,gb
"Splendid 2 bed Georgian Suite at Florence House, centre of Herne Bay and 300m from beach",Entire apartment,Herne Bay,9.0,Superb,2,284,334,51.3719507,1.1306951,England,United Kingdom,CT6 5EJ,gb
Mynydd A Môr,Entire holiday home,Trevor,8.9,Fabulous,3,196,245,52.9738499,-3.0880255,Cymru / Wales,United Kingdom,LL20 7PF,gb
Glenlochy Nevis Bridge Apartments,Entire apartment,Fort William,9.0,Superb,4,275,394,56.8178285,-5.110974,Alba / Scotland,United Kingdom,PH33 6AQ,gb
"Everest Lodge Serviced Apartments for Contractors & Families, free use of Netflix & WiFi by Firoz Property Management",Entire apartment,Farnborough,8.5,Very good,4,274,0,51.2918693,-0.7539836,England,United Kingdom,GU14 7SR,gb
"Another new perfect apartment, simply larger",Entire apartment,Ledbury,9.7,Exceptional,1,358,0,52.0357457,-2.4287821,England,United Kingdom,HR8 2BL,gb
Tully Mill Cottages,Entire holiday home,Bellanaleck,9.2,Superb,3,295,0,54.2963537,-7.6405962,Tuaisceart Éireann / Northern Ireland,United Kingdom,BT92 2BA,gb
Lovely 2-Bedrooms Apartment Step to The Beach,Entire apartment,Swansea,8.9,Fabulous,2,281,0,51.6195955,-3.9459248,Cymru / Wales,United Kingdom,SA1 3EE,gb
Camellia Chalet,Entire chalet,Germoe,9.0,Superb,3,274,0,50.1152191,-5.3787821730773615,England,United Kingdom,TR20 9QX,gb
Host & Stay - Wood Street Cottage,Entire holiday home,Barnard Castle,9.1,Superb,2,212,0,54.54310225,-1.918158118319142,England,United Kingdom,DL12 8JT,gb
