Name,Roomsinfo,Beds,Location,DiscountPrice,ActualPrice,Reviews,Host
Paradise at Canyon Lake,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 111m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire holiday home</span>",Canyon Lake,,,"<div aria-label=""Scored 9.2 "" class=""b5cd09854e d10a6220b4"">9.2</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
"Hotel Maren Fort Lauderdale Beach, Curio Collection By Hilton",2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","Fort Lauderdale Beach, Fort Lauderdale",,,"<div aria-label=""Scored 9.0 "" class=""b5cd09854e d10a6220b4"">9.0</div>","<div aria-label=""Superb"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Superb<!-- --> </div>"
Sonder The Plymouth,"Private suite • 2 bedrooms • 1 living room • 1 bathroom • 53m²2 beds (1 single, 1 double)","<span class=""bb58e7a787"">Private suite</span>","Chicago Loop, Chicago",,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Diamond Adventure Slope Side with Foosball and Arcade at Wintergreen Resort,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 106m²4 beds (1 extra-large double, 2 bunk beds, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Wintergreen,,,"<div aria-label=""Scored 10 "" class=""b5cd09854e d10a6220b4"">10</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Villas at Bahia Mar,Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²4 large double beds,"<span class=""bb58e7a787"">Entire villa</span>",South Padre Island,,,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Kasa Arlington Dallas,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 85m²4 beds (2 singles, 1 extra-large double, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Arlington,,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Banyan Harbor Resort,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 86m²3 beds (1 double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Lihue,,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Santa Fe Buffalo Thunder,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>",Santa Fe,,,"<div aria-label=""Scored 7.8 "" class=""b5cd09854e d10a6220b4"">7.8</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Exhibit A2,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 71m²3 beds (1 double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Ann Arbor,,,"<div aria-label=""Scored 8.7 "" class=""b5cd09854e d10a6220b4"">8.7</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Hilton Fort Lauderdale Marina,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","17th Street Causeway, Fort Lauderdale",,,"<div aria-label=""Scored 6.9 "" class=""b5cd09854e d10a6220b4"">6.9</div>","<div aria-label=""Review score"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Review score<!-- --> </div>"
Summerspell Condominum,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 60m²4 beds (1 extra-large double, 2 bunk beds, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>","Miramar Beach, Destin",,,"<div aria-label=""Scored 8.9 "" class=""b5cd09854e d10a6220b4"">8.9</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
Park Avenue Lofts,"Entire holiday home • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 130m²3 beds (1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire holiday home</span>",Freeport,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Phoenix Resort at the Peak - Formerly Pointe Hilton Squaw Peak Resort,2 private suites2 large double beds,"<span class=""bb58e7a787"">2 private suites</span>","Camelback East, Phoenix",,,"<div aria-label=""Scored 7.1 "" class=""b5cd09854e d10a6220b4"">7.1</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Saida,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 119m²4 beds (2 doubles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",South Padre Island,,,"<div aria-label=""Scored 8.5 "" class=""b5cd09854e d10a6220b4"">8.5</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Villas at John's Pass by Travel Resort Services,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 105m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Entire apartment</span>","Madeira Beach , St Pete Beach",,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Sonder Lafayette Square,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 116m²3 beds (1 sofa bed, 2 large doubles)","<span class=""bb58e7a787"">Private suite</span>","Downtown New Orleans, New Orleans",,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
The Gates Hotel South Beach - a Doubletree by Hilton,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","South Beach, Miami Beach",,,"<div aria-label=""Scored 7.2 "" class=""b5cd09854e d10a6220b4"">7.2</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Beach Harbour 16 @ The Carolina Beach Boardwalk - Full Remodel!,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 82m²5 beds (2 singles, 1 double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Carolina Beach,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Beach Harbour 16 @ The Carolina Beach Boardwalk - Full Remodel!,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 82m²5 beds (2 singles, 1 double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Carolina Beach,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Sunset Vistas Two Bedroom Beachfront Suites,"Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 81m²3 beds (1 extra-large double, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Private suite</span>","Treasure Island , St Pete Beach",,,"<div aria-label=""Scored 8.4 "" class=""b5cd09854e d10a6220b4"">8.4</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Siena at Bella Collina,"Entire apartment • 2 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 136m²2 beds (1 extra-large double, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Montverde,,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Royale Palms Condominiums,2 entire apartments • 2 bedrooms • 2 bathrooms • 2 kitchens6 extra-large double beds,"<span class=""bb58e7a787"">2 entire apartments</span>",Myrtle Beach,,,"<div aria-label=""Scored 8.3 "" class=""b5cd09854e d10a6220b4"">8.3</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Flying Flags RV Resort & Campground,2 entire bungalows • 2 bedrooms • 2 living rooms • 2 bathrooms • 2 kitchens2 large double beds,"<span class=""bb58e7a787"">2 entire bungalows</span>",Buellton,,,"<div aria-label=""Scored 8.6 "" class=""b5cd09854e d10a6220b4"">8.6</div>","<div aria-label=""Fabulous"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Fabulous<!-- --> </div>"
DoubleTree by Hilton Alana - Waikiki Beach,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","Waikiki, Honolulu",,,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Sonder at Jackwill Flats,Private suite • 2 bedrooms • 1 living room • 1 bathroom • 79m²2 large double beds,"<span class=""bb58e7a787"">Private suite</span>",San Diego,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Hilton Phoenix Tapatio Cliffs Resort,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","North Mountain, Phoenix",,,"<div aria-label=""Scored 7.5 "" class=""b5cd09854e d10a6220b4"">7.5</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Hilton Fort Lauderdale Beach Resort,"2 private suites4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>","Fort Lauderdale Beach, Fort Lauderdale",,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
1815 A Slice of Heaven Destin - Pool & Ocean View,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 109m²3 beds (2 extra-large doubles, 1 sofa bed)","<span class=""bb58e7a787"">Entire apartment</span>",Destin,,,"<div aria-label=""Scored 9.6 "" class=""b5cd09854e d10a6220b4"">9.6</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Hilton La Jolla Torrey Pines,2 private suites2 extra-large double beds,"<span class=""bb58e7a787"">2 private suites</span>","La Jolla, San Diego",,,"<div aria-label=""Scored 7.6 "" class=""b5cd09854e d10a6220b4"">7.6</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Beaver Village by Stay WinterPark,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 60m²3 beds (1 bunk bed, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",Winter Park,,,"<div aria-label=""Scored 8.3 "" class=""b5cd09854e d10a6220b4"">8.3</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
Classic CWE 2BR with Full Kitchen by Zencity,Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 111m²2 large double beds,"<span class=""bb58e7a787"">Entire apartment</span>",Tower Grove,,,"<div aria-label=""Scored 8.0 "" class=""b5cd09854e d10a6220b4"">8.0</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
ROOST Cleveland,Private suite • 2 bedrooms • 1 living room • 2 bathrooms • 90m²2 large double beds,"<span class=""bb58e7a787"">Private suite</span>","Downtown Cleveland, Cleveland",,,"<div aria-label=""Scored 9.5 "" class=""b5cd09854e d10a6220b4"">9.5</div>","<div aria-label=""Exceptional"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Exceptional<!-- --> </div>"
Florence,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 98m²4 beds (2 doubles, 1 sofa bed, 1 large double)","<span class=""bb58e7a787"">Entire apartment</span>",South Padre Island,,,"<div aria-label=""Scored 8.2 "" class=""b5cd09854e d10a6220b4"">8.2</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
"Zachari Dunes on Mandalay Beach, Curio Collection by Hilton","2 private suites4 beds (2 extra-large doubles, 2 sofa beds)","<span class=""bb58e7a787"">2 private suites</span>",Oxnard,,,"<div aria-label=""Scored 7.0 "" class=""b5cd09854e d10a6220b4"">7.0</div>","<div aria-label=""Good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Good<!-- --> </div>"
Brook Road Inn,"Private suite • 2 bedrooms • 1 living room • 1 bathroom • 28m²3 beds (2 singles, 1 large double)","<span class=""bb58e7a787"">Private suite</span>",Goshen,,,"<div aria-label=""Scored 8.1 "" class=""b5cd09854e d10a6220b4"">8.1</div>","<div aria-label=""Very good"" class=""b5cd09854e f0d4d6a2f5 e46e88563a"">Very good<!-- --> </div>"
